datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,buyer,seller,transaction_id
2022-01-06 14:46:18+00:00,673,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/673.png,2099.0,3451,6307,1643,Helena Pronghorns,Player,1641480378,6 hours ago,0x3722070b34f2ab80,0x3fcc6111e72b6f02,0e6181a4cf22effaed714357c3dad4ab407bdd5e209b79af76e2967e0336dc66
2022-01-06 14:00:56+00:00,3149,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5220.png,3000.0,2438,6620,817,Los Angeles Mammoths,Player,1641477656,7 hours ago,0x5dc74fd244f10967,0xe91d4815db5ec60f,c69ba9275f19c8c1d3e9bd195eebb3057ac7189bf84087f26106873ba81258e4
2022-01-06 13:49:07+00:00,7995,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5024.png,4200.0,1503,1032,3893,Boulder Elks,Captain,1641476947,7 hours ago,0x2ca4b59d911e55f3,0x50491b0b2c8ba7e6,b6de1df2009a8cbea13c89bd2351607481df644052ad5bd524652a101d05c6ec
2022-01-06 13:47:09+00:00,1726,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2354.png,2200.0,4677,1329,8807,Cleveland Firebirds,Player,1641476829,7 hours ago,0x4c342b6dafb5bcb1,0x1e275b3ad2d264fd,43d1f96dc734d1fc4197ab31c42cf512e8e2e810281f815a9a8cc76506b01db8
2022-01-06 11:32:04+00:00,2829,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8115.png,1700.0,7791,5031,8148,Salt Lake City Souls,Player,1641468724,35 minutes ago,0x6e43699a1a651780,0xc0472a0087447876,e96062cd2328566fe30f3be44bbf468847c21f0338d0373411673c6ad0274aa9
2022-01-06 10:35:46+00:00,2290,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1961.png,1725.0,6645,6822,5078,Wisconsin Dragons,Player,1641465346,an hour ago,0x268eff09f53ae196,0x356f4bc71b8a4c81,1e9f55f3f039d56149ca24ab01e24fa8d598e531599a3fc7425ec3fa19eadc77
2022-01-06 09:53:49+00:00,8713,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4602.png,1745.0,8446,9582,4584,Pennsylvania Fangs,Player,1641462829,2 hours ago,0x472e608f7c2a1ab5,0xc28fc42c2da9bc53,3a70789a0b9bb698bc6a170ed0b221c84dd6b5ee696c7b0ff4f8fe955c735fcb
2022-01-06 07:52:52+00:00,6544,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5625.png,1633.0,7034,4554,7580,Nashville Miracle,Player,1641455572,6 minutes ago,0x683bfd2fee230a2e,0xbeacd31201c92e0e,1df2f6d060d6b56bbc91fb0e2cdf3381ccb6e446246623642b11342ca127ac17
2022-01-06 07:51:45+00:00,4362,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4453.png,1500.0,6022,9151,2054,Los Angeles Knives,Player,1641455505,7 minutes ago,0x185123d684c0b95e,0x8fa886e3e42ac368,e22d9b7bae58703042d2dbe5d96eb89089ca59cdab8784e5ea7d670ef5551141
2022-01-06 07:46:31+00:00,6245,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9094.png,1800.0,1848,869,5410,Alabama Kingpins,Player,1641455191,13 minutes ago,0xeb5b51dfafbba6c1,0xe667a72eb680ed3c,b5eba95ab54dd1d36da8116fbef75dc5f74493a69dd40832e33f06b104b99405
2022-01-06 07:30:19+00:00,4642,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6631.png,1720.0,7544,5298,7601,Sierra Spiders,Player,1641454219,5 minutes ago,0xf3588430a659549a,0x2ab0137f9d6960ae,c67cb8f220a070d2983dc2565d419c2800150ae24fb5cd9528234aa23e0da4fa
2022-01-06 04:59:43+00:00,6436,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8343.png,2250.0,7575,3990,8810,Wisconsin Dragons,Player,1641445183,2 hours ago,0x33204758d60ac08b,0xf1a5b6fbf24186a7,edd5a29084e0f29130663b478aee407cd5f2a5998d516ad48a6a980153ae35d6
2022-01-06 04:24:51+00:00,9226,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4191.png,1525.0,4359,6226,2553,Alabama Kingpins,Player,1641443091,3 hours ago,0x7048edde593b978e,0x7d2f8ad76aa53a7b,859274df35a7fa1996aee27e9e6ae4c8620681a6b6577a01920d6415d948d156
2022-01-06 04:23:38+00:00,7126,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9158.png,1879.0,4526,5509,3162,Chicago Squid,Player,1641443018,3 hours ago,0xbd2c5d7971dd4faf,0x8ba92aa42027f822,f694bc7b8c3e87f63b75950a6cef10924c6cfaf05944896367b5369fc91a48ff
2022-01-06 04:17:22+00:00,3718,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8355.png,1555.0,3613,5333,2256,Boulder Elks,Player,1641442642,3 hours ago,0x5366751a7f7b6ba4,0xfb27292863ba22e8,ed0bdc28054a3a3423e3d5c5e67ff70c1f5d842206d2a0d743da4f69cfc7bb47
2022-01-06 03:40:35+00:00,1325,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1597.png,4200.0,979,4375,366,New York Golden Bulls,Player,1641440435,3 hours ago,0x5a872e8caa1f2307,0x1b4d7b3093e72229,f795d85a09fd448b3758150a9057530b66d511ae4e8b03b64bbf7e2b404a9c3a
2022-01-06 03:22:39+00:00,4325,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6182.png,3500.0,631,2735,397,Nashville Miracle,Player,1641439359,4 hours ago,0x169265762ee16a5d,0x7d2f8ad76aa53a7b,86f4063a47a34ec895d32b3850e9537ffd3560a11e6195ef8d69ca360f43de78
2022-01-06 03:14:33+00:00,3559,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6535.png,1942.0,7594,7824,5835,New Orleans Giants,Player,1641438873,4 hours ago,0x68de676a3d2e1f76,0x4984dbd2b7a2dc03,fd19ccaed2481c55bf6cdb441dccfedd0c492fc619fa6715ef49770da1a0beeb
