datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,seller,transaction_id
2021-12-30 06:16:43+00:00,543,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/543.png,30000.0,5826,5935,4495,Alaska Whales,Player,1640845003,an hour ago,0xd198fb08de830dda,08f9347a92e202913f05da5de988673862260c44f5187a401caaadac725f7701
2021-12-30 06:15:12+00:00,3581,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8434.png,2199.0,7532,3230,9310,Los Angeles Mammoths,Player,1640844912,an hour ago,0xaefe30a9c00f1e92,fd69cb3a1fb99037d174ddeb0b134b48004aa2a17afdf788fc70991f0825fca1
2021-12-30 06:05:33+00:00,4878,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4718.png,1450.0,9359,9296,7457,San Francisco Surge,Player,1640844333,an hour ago,0xf0bf5670c5cb12a2,d89cfc6fef131b132e6ae9cf1c8bfe60bbca9e0c65cd3af33695bf799df05dd6
2021-12-30 06:03:28+00:00,4620,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5929.png,1588.0,8915,9038,6533,Dallas Pythons,Player,1640844208,an hour ago,0x0d9e8f259ee27033,adbe450063b7ae202ab568c1ed8964f63c74fe82eaba9b8fc85f38ce27680835
2021-12-30 06:02:47+00:00,8135,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2848.png,6969.69,1815,711,6000,San Jose Sirens,Player,1640844167,an hour ago,0x290d8f15e33feb80,78b79c6914b893ad86ccdcc7a85b658c93df28b016726d52c511a36ad7f69f6a
2021-12-30 05:56:02+00:00,5847,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2601.png,1400.0,8168,5118,8527,Delaware Horsemen,Player,1640843762,an hour ago,0xe5456a154791b991,b717b4064666f4debd14e9a1a7a419e8508119041acf07883fa7a099a4dfe825
2021-12-30 05:55:36+00:00,2549,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5104.png,5999.0,1546,1233,3592,Chicago Squid,Player,1640843736,an hour ago,0xc8a8b471cbf096b8,f2f8d81b954167790160395429a15d9dd853db1e31f48fac7b82fba6e4e462e3
2021-12-30 05:54:00+00:00,4548,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/3191.png,1400.0,9459,9560,7517,Austin Machines,Player,1640843640,an hour ago,0xe5456a154791b991,c982438311dd24f460160c2b46564b86f139716b8491fc35ccee6f6286335dd7
2021-12-30 05:45:24+00:00,6414,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9090.png,4469.0,897,885,2374,Michigan Colliders,Player,1640843124,an hour ago,0x3e40591d5522a4f1,30a301fe37d4895fdff275f4cdadb033a96ff3966b0c0d6967e614b8753dab3f
2021-12-30 05:37:51+00:00,1407,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1040.png,1500.0,9093,5048,9552,Sierra Spiders,Player,1640842671,an hour ago,0x5a6c335815c78346,54deaabb3cd1b8527e77e6629ffe7b77100d2ff4f617ff79755dcaaca9f64243
